캠페인 이름,광고 세트 이름,광고 이름,연령,성,일,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,CPC(링크 클릭당 비용),"CPM(1,000회 노출당 비용)",CTR(전체),페이지 참여,페이지 좋아요,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,사진 조회,고유 아웃바운드 클릭,보고 시작,보고 종료,광고 세트,광고 위치
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),35-44,male,2021-03-26,1.0,24,24,266.0,266.0,1.0,1.0,1.0,1.0,266.0,266.0,11083.33333333,4.16666667,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),25-34,female,2021-03-26,1.0,140,141,1642.0,1642.0,1.0071428571429,1.0,1.0,1.0,1642.0,1642.0,11645.39007092,1.41843972,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),25-34,male,2021-03-26,,18,18,,191.0,1.0,,,,,,10611.11111111,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),35-44,unknown,2021-03-26,,2,2,,15.0,1.0,,,,,,7500.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),45-54,male,2021-03-26,,1,1,,5.0,1.0,,,,,,5000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 1(인스타피드 상세),25-34,unknown,2021-03-26,,1,1,,48.0,1.0,,,,,,48000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),13-17,unknown,2021-03-26,,1,1,,2.0,1.0,,,,,,2000.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,인스타피드
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),18-24,male,2021-03-26,,11,11,,82.0,1.0,,,,,,7454.54545455,0.0,,,,,,,,,,2021-03-26,2021-03-26,1,인스타피드
1 (전체),1 (페이스북),1 - 2(페이스북 상세),13-17,male,2021-03-26,1.0,122,138,481.0,481.0,1.1311475409836,1.0,1.0,,,481.0,3485.50724638,0.72463768,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,1,페이스북
1 (전체),1 (인스타피드),1 - 3(인스타피드 상세),13-17,male,2021-03-26,1.0,23,23,110.0,110.0,1.0,1.0,1.0,1.0,110.0,110.0,4782.60869565,4.34782609,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,1,인스타피드
7 (전체),7 (인스타피드),7 - 2(인스타피드 상세),35-44,male,2021-03-26,,20,20,,149.0,1.0,,,,,,7450.0,0.0,,,,,,,,,,2021-03-26,2021-03-26,7,인스타피드
7 (전체),7 (인스타피드),7 - 2(인스타피드 상세),25-34,male,2021-03-26,1.0,34,34,272.0,272.0,1.0,1.0,1.0,1.0,272.0,272.0,8000.0,2.94117647,1.0,,,1.0,,,,,1.0,2021-03-26,2021-03-26,7,인스타피드
