광고 세트 이름,연령,성,일,캠페인 이름,결과,도달수,노출,결과당 비용,지출 금액 (KRW),빈도,고유 링크 클릭,링크 클릭,랜딩 페이지 조회,랜딩 페이지 조회당 비용,페이지 참여,게시물 댓글,게시물 참여,게시물 공감,게시물 저장,게시물 공유,보고 시작,보고 종료
9 (페이스북),18-24,male,2021-04-28,9 (전체),4,352,390,409.2687724,1637.075089,1.107954545,4,4,,,6,,6,1,,1,2021-04-28,2021-04-28
9 (페이스북),25-34,male,2021-04-28,9 (전체),11,328,343,141.5519473,1557.07142,1.045731707,11,11,,,11,,11,,,,2021-04-28,2021-04-28
9 (페이스북),25-34,female,2021-04-28,9 (전체),156,4259,4259,147.6798507,23038.05671,1,148,156,,,170,2,170,5,2,5,2021-04-28,2021-04-28
9 (페이스북),18-24,female,2021-04-28,9 (전체),238,8045,8234,164.3058557,39104.79366,1.023492853,225,238,,,258,4,258,4,6,6,2021-04-28,2021-04-28
9 (인스타피드),25-34,female,2021-04-28,9 (전체),19,845,855,298.7894737,5677,1.01183432,19,19,,,27,,27,4,4,,2021-04-28,2021-04-28
9 (인스타스토리),18-24,female,2021-04-27,9 (전체),,10,10,,28,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (인스타스토리),18-24,male,2021-04-27,9 (전체),,2,2,,5,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (페이스북),25-34,male,2021-04-27,9 (전체),15,382,394,144.4319165,2166.478747,1.031413613,15,15,,,15,,15,,,,2021-04-27,2021-04-27
9 (페이스북),18-24,male,2021-04-27,9 (전체),10,388,420,178.2393872,1782.393872,1.082474227,10,10,,,11,,11,,,1,2021-04-27,2021-04-27
9 (페이스북),18-24,unknown,2021-04-27,9 (전체),,4,9,,53.0117145,2.25,,,,,,,,,,,2021-04-27,2021-04-27
9 (페이스북),25-34,unknown,2021-04-27,9 (전체),,3,3,,13.00287337,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (인스타피드),Unknown,unknown,2021-04-27,9 (전체),,1,1,,15.00206906,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (인스타피드),13-17,unknown,2021-04-27,9 (전체),,2,2,,13.00179319,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (인스타피드),25-34,male,2021-04-27,9 (전체),9,217,225,157.1327826,1414.195043,1.036866359,9,9,,,9,,9,,,,2021-04-27,2021-04-27
9 (인스타피드),18-24,unknown,2021-04-27,9 (전체),1,11,11,98.01351786,98.01351786,1,1,1,,,2,,2,,1,,2021-04-27,2021-04-27
9 (페이스북),25-34,female,2021-04-27,9 (전체),164,3465,3764,137.8414357,22605.99546,1.086291486,150,164,,,175,3,175,1,,7,2021-04-27,2021-04-27
9 (인스타피드),18-24,male,2021-04-27,9 (전체),9,208,213,135.5742537,1220.168284,1.024038462,9,9,,,11,,11,,2,,2021-04-27,2021-04-27
9 (인스타피드),25-34,female,2021-04-27,9 (전체),43,1081,1098,190.5146476,8192.129845,1.015726179,43,43,,,51,,51,2,6,,2021-04-27,2021-04-27
9 (인스타피드),18-24,female,2021-04-27,9 (전체),61,1796,1838,176.2046297,10748.48241,1.023385301,61,61,,,79,1,79,1,16,,2021-04-27,2021-04-27
9 (페이스북),18-24,female,2021-04-27,9 (전체),232,5921,6476,138.8280919,32208.11733,1.093734167,219,232,,,249,1,249,3,3,10,2021-04-27,2021-04-27
9 (인스타피드),25-34,unknown,2021-04-27,9 (전체),,10,10,,51.00703481,1,,,,,,,,,,,2021-04-27,2021-04-27
9 (페이스북),18-24,female,2021-04-26,9 (전체),73,1737,1800,137.6712329,10050,1.03626943,66,73,,,80,,80,,1,6,2021-04-26,2021-04-26
